Recipe Name,All Ingredients,Cuisine Type,Cooking Time (mins),Difficulty,Calories,Vegetarian / Non-Vegetarian,Short Description
Aloo Paratha Fusion Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,90,Easy,152,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Poha Fusion Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,69,Medium,395,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Rajma Chawal Royal Special Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,48,Easy,224,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Vegetable Biryani Royal,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,63,Medium,588,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Bhindi Masala Royal Delight Royal,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,86,Hard,670,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Samosa Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",East Indian,45,Easy,445,Vegetarian,A delicious Indian dish made with flavorful masala.
Egg Curry Classic Delight,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,53,Medium,155,Vegetarian,A delicious Indian dish made with authentic taste.
Dal Makhani Delight Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,72,Easy,498,Vegetarian,A delicious Indian dish made with authentic taste.
Paneer Butter Masala Classic Classic Delight,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,55,Easy,606,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Vegetable Biryani Royal Royal,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,21,Medium,625,Vegetarian,A delicious Indian dish made with aromatic spices.
Dal Makhani Fusion Delight Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,58,Easy,363,Vegetarian,A delicious Indian dish made with fresh vegetables.
Dum Aloo Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,44,Medium,590,Vegetarian,A delicious Indian dish made with aromatic spices.
Chicken Biryani Royal Classic Classic Special,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,40,Hard,389,Vegetarian,A delicious Indian dish made with rich gravy.
Hyderabadi Biryani Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,45,Easy,235,Vegetarian,A delicious Indian dish made with rich gravy.
Rajma Chawal Classic Classic,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,49,Medium,252,Vegetarian,A delicious Indian dish made with fresh vegetables.
Sambar Rice Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,45,Easy,464,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Upma Classic Fusion Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,56,Easy,579,Vegetarian,A delicious Indian dish made with authentic taste.
Bhindi Masala Royal Classic Royal,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,30,Medium,270,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Bhindi Masala Classic Delight,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",South Indian,22,Medium,670,Vegetarian,A delicious Indian dish made with aromatic spices.
Baingan Bharta Special Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,31,Easy,253,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Matar Paneer Royal Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,62,Easy,194,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Litti Chokha Fusion Special Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,58,Easy,452,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Biryani Delight Royal Special,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,41,Medium,221,Vegetarian,A delicious Indian dish made with flavorful masala.
Tandoori Chicken Classic Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,51,Hard,655,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Masala Dosa Classic Royal,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,39,Medium,194,Vegetarian,A delicious Indian dish made with rich gravy.
Methi Thepla Classic Fusion,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",North Indian,65,Easy,555,Vegetarian,A delicious Indian dish made with aromatic spices.
Rajma Chawal Classic Fusion Fusion,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",South Indian,71,Medium,194,Vegetarian,A delicious Indian dish made with authentic taste.
Chicken Tikka Delight Royal,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,63,Hard,633,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Fish Curry Classic Classic Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,83,Easy,431,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Roti Royal,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,25,Medium,517,Vegetarian,A delicious Indian dish made with fresh vegetables.
Paneer Tikka Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,73,Medium,435,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Korma Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,42,Easy,411,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Gulab Jamun Royal Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,81,Medium,579,Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Biryani Special Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,39,Medium,184,Vegetarian,A delicious Indian dish made with authentic taste.
Upma Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,69,Easy,302,Vegetarian,A delicious Indian dish made with fresh vegetables.
Bhindi Masala Royal Classic Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,53,Hard,368,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Methi Thepla Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,83,Hard,626,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Masala Dosa Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",South Indian,54,Easy,536,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Rajma Chawal Classic Classic Classic,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,55,Medium,630,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Dhokla Special,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,82,Medium,618,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Pesarattu Classic,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,47,Medium,484,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dum Aloo Classic Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,51,Hard,176,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Tandoori Chicken Special Fusion,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,47,Medium,431,Vegetarian,A delicious Indian dish made with rich gravy.
Chole Bhature Special,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,68,Easy,547,Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Biryani Delight Royal Special Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,80,Medium,285,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Vegetable Biryani Special Delight Royal,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,33,Medium,165,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Fish Curry Classic Classic Classic,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,77,Hard,340,Vegetarian,A delicious Indian dish made with rich gravy.
Mutton Rogan Josh Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,78,Medium,587,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Biryani Royal Royal Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,44,Medium,386,Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Classic Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,90,Easy,661,Vegetarian,A delicious Indian dish made with flavorful masala.
Gulab Jamun Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,19,Medium,482,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Dhokla Special Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,42,Medium,188,Vegetarian,A delicious Indian dish made with fresh vegetables.
Fish Curry Delight Royal Fusion Royal,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,67,Medium,596,Vegetarian,A delicious Indian dish made with authentic taste.
Khichdi Delight Classic Fusion Royal,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,16,Hard,157,Vegetarian,A delicious Indian dish made with aromatic spices.
Bhindi Masala Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,20,Easy,323,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Classic Fusion Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,72,Hard,335,Vegetarian,A delicious Indian dish made with authentic taste.
Methi Thepla Special,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,86,Medium,277,Vegetarian,A delicious Indian dish made with flavorful masala.
Fish Curry Delight Royal Fusion Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,27,Medium,375,Vegetarian,A delicious Indian dish made with authentic taste.
Rasgulla Delight Delight Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,50,Hard,367,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Egg Curry Special Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,52,Hard,637,Vegetarian,A delicious Indian dish made with rich gravy.
Egg Curry Special Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,30,Easy,562,Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Biryani Special Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,78,Hard,369,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Poha Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,63,Easy,471,Vegetarian,A delicious Indian dish made with rich gravy.
Tandoori Chicken Special Fusion Delight,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",South Indian,88,Easy,441,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Khichdi Delight Delight Classic,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",West Indian,70,Medium,562,Vegetarian,A delicious Indian dish made with rich gravy.
Matar Paneer Royal Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",South Indian,58,Medium,646,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Vegetable Biryani Royal Royal Fusion Fusion,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,31,Hard,156,Vegetarian,A delicious Indian dish made with fresh vegetables.
Chole Bhature Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,16,Medium,640,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Paneer Tikka Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,20,Hard,173,Vegetarian,A delicious Indian dish made with flavorful masala.
Bhindi Masala Royal Delight,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,58,Easy,350,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Methi Thepla Special Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,59,Medium,554,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Upma Classic Fusion Delight,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",South Indian,35,Hard,357,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Rajma Chawal Royal Special Classic Special,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,20,Easy,248,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Vegetable Biryani Special Delight Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,46,Easy,276,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Aloo Paratha Fusion Delight,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,19,Medium,339,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Egg Curry Classic Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,88,Easy,388,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Rajma Chawal Classic Fusion Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",North Indian,46,Medium,544,Vegetarian,A delicious Indian dish made with authentic taste.
Dhokla Special Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",North Indian,70,Easy,652,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,54,Medium,224,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Samosa Royal Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,83,Medium,669,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Gulab Jamun Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,86,Easy,603,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Kadai Paneer Delight,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,46,Medium,665,Vegetarian,A delicious Indian dish made with aromatic spices.
Fish Curry Delight Royal,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,43,Medium,187,Vegetarian,A delicious Indian dish made with authentic taste.
Fish Curry Delight Royal Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,58,Hard,318,Vegetarian,A delicious Indian dish made with fresh vegetables.
Rasgulla Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,46,Easy,447,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Kadai Paneer Delight Fusion,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,33,Medium,517,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dhokla Classic Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,49,Hard,353,Vegetarian,A delicious Indian dish made with rich gravy.
Rajma Chawal Royal Special Special,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,88,Medium,195,Vegetarian,A delicious Indian dish made with flavorful masala.
Matar Paneer Royal Classic Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,54,Medium,334,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Paneer Tikka Classic Fusion,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",South Indian,85,Easy,601,Vegetarian,A delicious Indian dish made with authentic taste.
Egg Curry Special Delight Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,64,Medium,255,Vegetarian,A delicious Indian dish made with aromatic spices.
Vegetable Biryani Special Delight Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,60,Easy,169,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Bhindi Masala Royal Delight Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,88,Hard,662,Vegetarian,A delicious Indian dish made with rich gravy.
Rajma Chawal Classic Fusion Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,46,Hard,246,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Egg Curry Royal Classic Special,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,40,Hard,221,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Pesarattu Classic Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,31,Easy,598,Vegetarian,A delicious Indian dish made with fresh vegetables.
Litti Chokha Fusion Special Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,16,Hard,662,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Idli Sambhar Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,32,Medium,316,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Gulab Jamun Royal Royal Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,44,Easy,188,Vegetarian,A delicious Indian dish made with authentic taste.
Hyderabadi Biryani Special,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,47,Easy,457,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Mysore Pak Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,80,Hard,314,Vegetarian,A delicious Indian dish made with aromatic spices.
Poha Fusion Delight Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,66,Easy,302,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Upma Royal Fusion,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,75,Hard,631,Vegetarian,A delicious Indian dish made with fresh vegetables.
Rajma Chawal Classic Fusion Fusion Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,44,Easy,462,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Sambar Rice Royal Fusion,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,34,Hard,579,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Dal Makhani Fusion Delight Delight Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,80,Hard,673,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Rajma Chawal Classic Fusion Delight Classic,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,62,Easy,316,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Egg Curry Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,57,Easy,343,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Egg Curry Fusion Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,81,Easy,446,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Vegetable Korma Classic Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,16,Easy,642,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Rajma Chawal Classic Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,81,Medium,307,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Upma Classic Fusion Delight Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",East Indian,30,Easy,336,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Upma Classic Fusion Delight Special,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,19,Medium,285,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Rajma Chawal Royal Special Special Delight,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,24,Medium,447,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Poha Royal,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,68,Hard,516,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Pesarattu Delight Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,89,Hard,302,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Rajma Chawal Classic Fusion Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,37,Easy,394,Vegetarian,A delicious Indian dish made with aromatic spices.
Gulab Jamun Delight Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,29,Easy,647,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Khichdi Delight Classic Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,16,Easy,348,Vegetarian,A delicious Indian dish made with fresh vegetables.
Egg Curry Special Fusion,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,45,Medium,344,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dhokla Special Fusion Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,67,Easy,164,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Khichdi Delight Classic Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,89,Medium,444,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Special Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,61,Medium,669,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Aloo Paratha Fusion Royal Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,79,Medium,190,Vegetarian,A delicious Indian dish made with rich gravy.
Paneer Tikka Delight Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,49,Medium,637,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Dhokla Fusion Delight,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,53,Easy,676,Vegetarian,A delicious Indian dish made with flavorful masala.
Mutton Rogan Josh Fusion Delight,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,45,Easy,353,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Samosa Classic Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,22,Easy,520,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Poori Bhaji Fusion Royal,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,67,Medium,196,Vegetarian,A delicious Indian dish made with flavorful masala.
Idli Sambhar Special,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,60,Hard,502,Vegetarian,A delicious Indian dish made with aromatic spices.
Tandoori Chicken Special Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,35,Hard,694,Vegetarian,A delicious Indian dish made with aromatic spices.
Methi Thepla Classic Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,51,Easy,641,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Paneer Butter Masala Classic Classic Delight Special,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,24,Hard,424,Vegetarian,A delicious Indian dish made with aromatic spices.
Mysore Pak Special Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,72,Medium,179,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Pav Bhaji Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",South Indian,53,Medium,152,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Pesarattu Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",West Indian,30,Hard,403,Vegetarian,A delicious Indian dish made with flavorful masala.
Idli Sambhar Fusion Royal,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,33,Easy,698,Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Special Delight Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",West Indian,48,Medium,281,Vegetarian,A delicious Indian dish made with aromatic spices.
Bhindi Masala Royal Classic Special,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,51,Medium,270,Vegetarian,A delicious Indian dish made with aromatic spices.
Bhindi Masala Classic Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,17,Medium,409,Vegetarian,A delicious Indian dish made with rich gravy.
Bhindi Masala Special Fusion,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,23,Hard,197,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Bhindi Masala Royal Delight Classic Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,28,Easy,657,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Paneer Butter Masala Delight Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,35,Medium,532,Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Special Delight Fusion Classic,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,47,Easy,462,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Fish Curry Delight Royal Fusion Royal Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,26,Easy,254,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Tandoori Chicken Special Delight Fusion Classic Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,25,Easy,416,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
